CartID,CustomerID,ProductID,DateAdded
8134268,515751,7566,2022-10-24 11:07:03
8134268,515751,6986,2023-11-07 10:07:27
8134268,515751,6290,2022-01-23 19:13:32
1349045,687002,9677,2022-11-07 09:21:02
1349045,687002,9194,2023-08-23 21:47:20
1349045,687002,793,2022-01-01 18:19:17
1349045,687002,2523,2022-06-25 14:49:07
1349045,687002,7174,2022-12-22 11:04:23
458005,823846,2949,2023-01-09 00:40:55
458005,823846,6612,2023-08-06 18:26:16
458005,823846,6766,2023-08-28 21:45:52
458005,823846,4882,2022-06-02 11:56:30
2626253,266856,9536,2022-11-25 01:47:41
2626253,266856,1566,2023-08-31 19:01:41
2626253,266856,232,2022-04-14 17:33:18
2626253,266856,5274,2021-12-02 18:18:13
8708417,448636,5704,2022-04-21 20:47:05
8708417,448636,8456,2022-06-18 00:37:01
8708417,448636,7177,2022-12-04 10:12:31
7844946,98191,793,2023-08-17 20:59:52
7844946,98191,4462,2023-01-05 05:38:10
7844946,98191,2512,2023-06-02 07:25:52
7844946,98191,223,2022-12-08 17:38:41
4643743,876379,6446,2022-01-12 18:40:55
4034950,734435,8101,2022-06-14 04:05:20
4034950,734435,159,2022-11-01 16:03:40
6418812,120141,4248,2022-06-30 11:57:57
6418812,120141,793,2023-01-13 20:17:29
332517,566078,6687,2022-01-16 08:24:48
332517,566078,8938,2023-04-04 02:55:52
332517,566078,1219,2023-05-14 08:45:27
332517,566078,5962,2023-05-17 00:41:48
7223684,938137,1799,2023-01-15 04:55:52
7223684,938137,2523,2022-08-12 19:27:56
8881301,520105,8463,2023-10-28 21:41:56
8881301,520105,5026,2023-09-21 15:53:17
3331142,318472,5967,2022-04-07 13:03:38
3331142,318472,8762,2023-02-17 03:33:48
3331142,318472,5141,2022-03-26 21:47:08
3331142,318472,6856,2022-09-01 15:25:09
9295928,909690,5475,2022-07-22 05:16:00
9295928,909690,8121,2023-05-16 17:41:22
1683855,964405,2579,2023-06-22 17:29:53
8109783,2091,8017,2022-08-02 01:06:22
8109783,2091,3449,2021-12-27 17:05:41
8109783,2091,688,2023-09-19 01:48:46
8109783,2091,6832,2021-12-01 05:00:33
655635,228285,8241,2021-11-26 10:15:36
655635,228285,6711,2022-07-10 16:38:37
655635,228285,2579,2022-07-05 04:50:58
2511545,868716,2523,2022-05-23 16:50:13
7359661,629832,3449,2023-06-28 01:59:26
7359661,629832,4518,2023-05-11 15:46:35
7359661,629832,2579,2021-12-04 12:29:45
2097717,792506,8241,2022-02-24 17:35:24
2097717,792506,3892,2023-02-06 14:17:55
2097717,792506,688,2023-01-09 02:37:08
2097717,792506,9502,2022-07-31 03:06:28
8830867,757947,7566,2022-08-12 17:40:39
8830867,757947,793,2022-01-24 06:58:37
8830867,757947,2523,2023-09-05 03:47:54
8830867,757947,1893,2022-12-14 15:39:00
9218264,270569,1219,2023-04-14 08:54:25
2830028,998723,6832,2022-08-19 13:22:31
2830028,998723,1161,2021-12-26 13:51:41
2830028,998723,6612,2022-07-26 19:06:05
2830028,998723,1958,2023-10-19 06:59:41
2830028,998723,2059,2022-08-15 08:34:07
