OrderDetailID,OrderID,ProductID,Quantity,Price
56688,975556,8854,5,365.99
473032,863456,2579,4,1152.56
970682,858475,1089,4,1373.0
542082,452497,5324,2,1495.85
505912,652497,4438,5,1256.48
271056,828318,8875,2,398.36
260870,798853,7761,5,310.8
361521,134552,3892,1,1324.62
95257,13475,7022,3,846.92
830950,462037,8456,5,537.95
477975,104128,3892,5,1324.62
693004,284276,7795,4,856.06
676108,168350,4969,3,889.71
559161,646036,5531,4,1023.65
681614,161528,5726,1,636.42
312047,827880,4455,1,771.96
233569,131081,8456,4,537.95
468637,257584,4307,3,1006.95
656931,803071,4592,4,1198.67
32243,261113,2323,1,163.41
818459,32154,8241,4,1102.11
271661,426340,6686,4,661.35
752043,423657,3952,2,790.0
1607,342471,6766,2,1327.85
426705,920228,5704,1,590.77
403038,614819,4766,4,143.42
407097,568983,2489,5,1246.39
867334,481467,1073,2,1184.89
425386,380227,876,5,430.56
361497,425010,7550,1,211.52
170054,191048,6766,3,1327.85
80722,663204,7635,1,678.72
25684,14698,617,1,884.1
52726,349,8559,1,356.76
261160,469797,5963,2,1175.81
196671,253909,1887,2,801.03
314343,442363,2508,2,579.92
13245,280139,4292,3,182.94
342769,342456,6290,2,210.04
801728,70833,6766,2,1327.85
883406,43711,2508,2,579.92
317655,87290,6970,2,1322.29
620490,160263,4335,2,420.54
888493,956594,2489,1,1246.39
562774,375270,6520,5,1359.76
831669,813698,6070,4,1154.63
636770,713596,3892,3,1324.62
976531,953973,5704,3,590.77
200860,403058,6963,5,703.49
30878,292018,8769,4,192.04
860733,310102,1887,1,801.03
602716,592780,4455,1,771.96
40113,702822,9891,3,1002.8
606388,876232,8044,2,521.48
291347,272325,2059,3,1455.41
892884,142313,1871,3,966.19
475877,605917,7569,4,285.31
40019,510023,8241,3,1102.11
747113,504260,3090,2,130.39
178823,326828,1958,3,411.77
954581,178129,7453,4,1298.95
981115,550080,1219,1,967.23
323011,182627,3687,3,969.4
744450,859044,8188,5,267.66
298578,111,1738,1,483.88
168886,749349,6687,1,805.97
273851,580045,5337,4,181.97
607466,923180,8134,3,142.15
806176,882648,2427,4,1322.63
483637,706434,7795,2,856.06
813261,387353,2456,4,741.07
502011,888800,4292,1,182.94
98249,368081,9120,3,1483.46
499789,988604,4335,4,420.54
876785,619286,4248,3,525.49
852024,669115,9450,3,103.25
822417,307856,688,2,1114.22
233055,446782,5962,2,207.05
856088,658124,1869,3,1174.09
735663,441832,6832,4,1094.28
130822,807125,5914,1,73.9
739770,999510,7620,1,1131.83
699257,950537,1819,4,627.02
910920,711772,4337,4,391.66
30617,94179,3449,3,103.22
114829,348853,9280,3,669.08
55311,640104,5549,5,360.98
973453,693150,5564,5,837.22
671270,651894,9415,2,986.66
632918,656316,6986,2,1198.17
715230,742361,9450,5,103.25
783733,448905,1043,3,1360.73
649775,514778,6927,1,856.41
554938,310777,6749,2,969.27
197416,291089,8875,4,398.36
878480,412827,793,2,1396.95
762376,549881,4292,4,182.94
285887,301110,1089,3,1373.0
591668,997984,4500,4,748.89
547351,178911,4537,5,641.1
119541,146081,5624,1,1235.6
507724,541527,641,4,677.15
479032,550253,6520,3,1359.76
658018,412761,2886,1,1362.09
793033,331859,7635,2,678.72
350414,583235,8762,5,1070.52
98063,488429,9436,5,344.19
295244,78178,485,5,333.43
549307,298361,6970,3,1322.29
518009,518128,7550,5,211.52
284307,116085,5967,4,494.37
477835,880323,793,2,1396.95
313286,738798,8784,1,550.3
962490,757839,4766,1,143.42
335924,70170,3962,5,582.1
878105,720863,3962,1,582.1
527305,969524,3966,4,1442.35
61751,254139,7635,3,678.72
497745,933830,7795,5,856.06
318288,700113,345,5,1220.68
643223,62387,8076,3,655.6
993619,105824,8784,2,550.3
171110,338277,4335,1,420.54
982901,380088,688,2,1114.22
576597,711129,8134,3,142.15
960477,486196,2523,3,58.5
500462,478198,4339,2,176.89
763471,703732,8831,4,328.9
346588,784158,688,5,1114.22
55750,635896,9677,4,845.49
439241,429359,8241,1,1102.11
113042,870688,8188,3,267.66
621801,490213,6059,4,1352.99
798558,270647,3687,4,969.4
148424,589726,7883,1,1179.77
39165,871699,3090,5,130.39
577496,282877,7177,2,883.85
27691,156478,1089,4,1373.0
781299,814522,6766,2,1327.85
285929,924703,6520,4,1359.76
634113,907932,8463,3,295.87
129694,826808,3966,2,1442.35
204558,972791,835,1,895.44
975028,54031,9502,1,57.03
294004,891226,8188,1,267.66
814308,165388,3966,2,1442.35
57941,985851,8076,5,655.6
703347,802180,9502,1,57.03
221963,292565,9891,2,1002.8
634843,672289,6162,3,1018.48
93802,453329,7453,2,1298.95
499718,856000,8784,3,550.3
173187,559981,6436,2,351.84
680424,879355,5864,4,1417.44
89668,2070,223,4,241.64
354277,352858,5188,2,889.98
597343,364399,6165,1,611.83
799758,995407,2614,1,638.09
246790,273475,6963,2,703.49
116652,599483,6687,4,805.97
631945,774963,5864,1,1417.44
967611,399407,2427,3,1322.63
467113,15955,485,5,333.43
603730,592498,2202,1,995.02
738100,824737,1871,3,966.19
509597,969396,6927,1,856.41
706359,413622,4518,3,315.01
671851,105824,2427,2,1322.63
161529,495905,4337,2,391.66
590683,374158,876,3,430.56
54952,72539,223,1,241.64
971079,936852,7866,4,1210.48
482802,248422,5564,5,837.22
19724,754145,5624,4,1235.6
286957,752524,5963,4,1175.81
946719,832299,2066,1,1364.6
729266,757665,5475,1,182.27
990837,647242,5239,3,947.58
80651,624788,5914,3,73.9
12700,54248,641,4,677.15
717332,329311,2059,3,1455.41
85293,985356,3962,2,582.1
789067,123005,9120,4,1483.46
345103,794494,4455,2,771.96
488654,762635,6770,1,752.17
567339,834406,2579,5,1152.56
306073,97420,217,2,101.36
852870,555501,6711,1,265.31
63128,420460,5864,3,1417.44
657040,746865,8875,1,398.36
900390,431685,5157,1,916.11
829428,64326,2512,5,1277.95
811356,949712,8769,3,192.04
909193,698953,2994,2,356.35
795061,677423,8862,5,219.82
842626,322990,5963,1,1175.81
508821,451745,5999,5,143.62
684503,269894,2614,1,638.09
560823,814274,6686,5,661.35
727372,585939,4462,5,1294.08
354583,167934,8746,2,236.28
256171,723876,7774,1,1078.55
749436,486866,7774,1,1078.55
881655,699684,7635,3,678.72
78946,211672,9280,5,669.08
727781,915595,8076,1,655.6
263412,610239,6749,2,969.27
318455,656316,2107,3,854.64
324134,868526,4755,4,220.96
184218,500874,8044,2,521.48
78609,422410,1869,2,1174.09
722457,840459,8188,5,267.66
586202,192894,4313,1,1464.61
58016,988268,3090,5,130.39
663986,291275,5914,4,73.9
83082,209916,1893,2,705.31
586393,334727,223,5,241.64
890708,403155,4131,3,1449.82
86875,189194,1819,2,627.02
427764,810996,2059,2,1455.41
689169,2022,2206,2,1483.74
908504,293595,9536,5,1208.91
732487,969279,2206,5,1483.74
684996,446298,6686,5,661.35
184697,804858,7174,4,223.3
672635,100185,5157,1,916.11
330097,417000,1958,2,411.77
467967,155568,5475,5,182.27
915166,987093,6766,3,1327.85
429246,676634,1043,5,1360.73
687688,80497,5157,4,916.11
80454,644311,159,3,102.22
877660,158541,3449,4,103.22
794856,121796,7022,5,846.92
717208,277568,4335,4,420.54
529363,94453,1043,5,1360.73
473584,354703,6766,3,1327.85
517045,692548,5914,1,73.9
749570,357779,5999,4,143.62
250083,785363,1738,4,483.88
869072,818163,8027,4,1430.95
839506,467275,6749,5,969.27
671019,406148,7177,5,883.85
